MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read);
RAM;3072;uint8_t;1;9;clock();4.000000e-06;4.200000e-06;7.314286e+14;4.000000e-07;3.809524e-06%;4.000000e-06;4.200000e-06;7.314286e+14;4.000000e-07;3.809524e-06%;
RAM;3072;uint8_t;1;10;clock();5.000000e-06;4.200000e-06;7.314286e+14;4.000000e-07;3.809524e-06%;5.000000e-06;4.200000e-06;7.314286e+14;4.000000e-07;3.809524e-06%;
RAM;1024;uint8_t;1;1;clock();2.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;2.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;
RAM;1024;uint8_t;1;2;clock();2.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;2.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;
RAM;1024;uint8_t;1;3;clock();1.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;1.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;
RAM;1024;uint8_t;1;4;clock();2.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;2.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;
RAM;1024;uint8_t;1;5;clock();1.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;1.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;
RAM;1024;uint8_t;1;6;clock();2.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;2.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;
RAM;1024;uint8_t;1;7;clock();2.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;2.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;
RAM;1024;uint8_t;1;8;clock();1.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;1.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;
